"BIC","LEI"
"ACCNNZ2BXXX","VURY5GY8X0LH5X1N8S52"
"ACCTCA61XXX","254900G2I0OT2KACCM56"
"ACCUIE21XXX","635400M7OWD3YT3T9P27"
"ACCYZAJ1XXX","254900AFNFMYBL9EK384"
"ACDAES21XXX","95980020140005976444"
"ACDINL22XXX","7245000UZH70GO047N03"
"ACDLUS31XXX","2549008ML8G84N6HCJ75"
"ACEEUS31XXX","2549000QX6RLQOZ2XC11"
"ACEFFRP1XXX","969500E3IE5WW0SF4R79"
"ACEGGB22XXX","213800SDA1ARDKUAED07"
"ACEIGB22XXX","984500F560E4T2D5B873"
"ACELGB21XXX","2138009SLAM48YVX9X83"
"ACEMFRP1XXX","969500E2XRFBMG2WDI82"
"ACENUS41XXX","EM2U0UPRO83F878KCP52"
"ACERGB21XXX","213800NWZWYYTIEXU364"
"ACFBMYK1XXX","2549002RX9QANY14OL51"
"ACFDDKK1XXX","213800Z156GT4VXSGZ89"
"ACFRITM1XXX","815600EB2286CF8C3015"
"ACFXCAW1XXX","549300FQFP58VFS6PL04"
"ACGEFRP1XXX","969500P97QT67DSKMQ68"
"ACGGUS33XXX","5493003L424PJ1BWHS66"
"ACGLUS41XXX","5493007ROE8YOPR8OG19"
"ACGMGB21XXX","213800Y7WLJILTZZ5I67"
"ACGOITR1XXX","815600EE82868C20A274"
"ACGPGB21XXX","213800S8BX7IUF56TH23"
"ACGUGB21XXX","213800LW7FVTA6T6DK16"
"ACHBCNS1XXX","300300F2009331000091"
"ACHDHKK1XXX","875500U06UKANMJQV467"
"ACHHIT21XXX","815600F02C9B44DC1B21"
"ACHIHKH1XXX","54930082I3RDSBRNR559"
"ACHLNL21XXX","724500AH42V5X8BCPE49"
"ACIDIE21XXX","549300BN2OQA45ZT7Y20"
"ACILUS61XXX","549300HH7ZKU17SIO079"
"ACIMGB21XXX","213800PC3R9TZJHYV315"
"ACIOMXMMXXX","4469000001BLWI4LQJ08"
"ACJCUA2NXXX","254900AZX7088XLPKU82"
"ACKFCAT1XXX","25490037UV2GCHX1IK53"
"ACLBKHPPXXX","529900PQVCDBE6NA9O55"
"ACLLIT31XXX","8156001C8916F4D50026"
"ACLOAUS2XXX","549300USWUR0S7VMM868"
"ACLRAU2SXXX","549300SW1A0SWG24LO05"
"ACLSITM1XXX","815600D47C00FCE1E841"
"ACLTIT21XXX","815600AA644865177466"
"ACMHDE81XXX","391200XOAVM8ENKNKX76"
"ACMIGB21XXX","213800N25VHLSIV47443"
"ACMLUS31XXX","254900CXQIB4D0KR4N47"
"ACMTCAMMXXX","549300V7NU090M6XCS31"
"ACNACA2QXXX","4B4HI3CGXMBDC0G6BM51"
"ACNDGB22XXX","213800HCDLWPC7QAXY12"
"ACNMLULLXXX","5493009FW3T8XKHOE516"
"ACNNGB21XXX","213800HQXD63ZWQCRH47"
"ACNPGB21XXX","54930045TVKCTPETB272"
"ACNRCHGGXXX","50670075D5AFEA95W925"
"ACOIESMMXXX","54930002KP75TLLLNO21"
"ACORESMMXXX","95980020140006012431"
"ACPICY2LXXX","5493003PWD4UQQYE1P64"
"ACPLGB21XXX","IFI2X3INNNHQPFRTNK08"
"ACPMPAPAXXX","549300W1ISP1PW2J2P64"
"ACPNFRP1XXX","969500KG79HJ8B9O5I29"
"ACPOITT1XXX","815600540A6D82CFE407"
"ACPPGB21XXX","213800EAH8D3XRUTLS59"
"ACPRUS31XXX","549300SHH0RJIDUOI545"
"ACPYUS33XXX","254900J5PBIBWOUPYT35"
"ACRGCH22XXX","529900IZCCVJYG35IU24"
"ACRLGB21XXX","549300SQNTLSCP6FTV53"
"ACRNGB2LXXX","213800FFPXOGQUT9U708"
"ACROFRP1XXX","9695009FIABOZ346XE79"
"ACRUIE21XXX","635400OOSCBJ1YFAHJ12"
"ACSIFRP1XXX","969500HZ24Y80PCDUM08"
"ACSMIT21XXX","815600FA7D9BAD18E930"
"ACSRJPJ1XXX","353800FMET3DVJ2YQH75"
"ACSUUS31XXX","2549007UD4DGNW84BE02"
"ACSVESB1XXX","549300IB0Z8F74QQ6V24"
"ACTCBRR1XXX","2549009KXVL256RSXX58"
"ACTDGB2LXXX","213800JU9B527QKIIN57"
"ACTNRO21XXX","254900SBCMWJN99WQB57"
"ACTONL21XXX","724500H1P1HA8IIMXG57"
"ACTRITR1XXX","549300Z7PV7EK7XX7121"
"ACTSDEMMXXX","529900DRNK52DKCA6142"
"ACTVPTPLXXX","529900GYIFZ0EH50GF42"
"ACTWJESHXXX","213800WBOKEV18VYWR51"
"ACTYAU31XXX","549300I8FLLDNSSBMR20"
"ACTZTZTZXXX","21380017BQK1NEOEXR43"
"ACUIGB22XXX","894500O4K4U039Y5IR85"
"ACUUFIH1XXX","254900XYMT01B079ZI90"
"ACVEIT21XXX","8156008183686996C911"
"ACVIIT21XXX","815600EAB6D4A5C8B862"
"ACVLMXMMXXX","549300DU66GWKF0AZQ89"
"ACVPGB21XXX","2138004A38ZO2DEMSU28"
"ACVRCOB1XXX","254900YJ0OY68HYDMQ61"
"ACVTAU31XXX","549300HTWZSIRRZQ2683"
"ACWASARIXXX","558600Y0TFKRV2QZ1A74"
"ACWEGB21XXX","213800RG4WF4YPRU9X76"
"ADAELUL2XXX","5493002QZOE70NQEGM68"
"ADBMINB1XXX","335800FRN33Q2KFQRR87"
"ADBNCNBJXXX","300300C1020311000158"
"ADBOFR21XXX","969500PSKWXW5NEWMP90"
"ADBVNL2AXXX","549300T91OYP6I7P8G39"
"ADCBAEAAXXX","213800RWVKKIRX1AUH58"
"ADCBKYKYXXX","213800X631GMJVFDYU82"
"ADCGGB21XXX","213800E74C7ANPL9BW10"
"ADCMUS31XXX","JON937H5HNZFJ4QPF387"
"ADCNAEAAXXX","549300XK8N8JNBOMWY44"
"ADCOCHBBXXX","549300EX8ERL6I4EZ886"
"ADCRBGS1XXX","2138003J5QNXXY2V3W55"
"ADCUIE21XXX","894500MLQPH8XPUW0D39"
"ADCYUS32XXX","549300J5W91RLNLMTL86"
"ADDACHG1XXX","5493001G44K1DK0E2G86"
"ADDUIE21XXX","635400CI6PTHSYKCZG34"
"ADECCH2GXXX","NI14Y5UMU60O7JE9P611"
"ADEIUS55XXX","549300756XI3QLFT2U27"
"ADEPGB21XXX","549300FHBQJKXUAWOU74"
"ADFAGB22XXX","254900S5SXQD10D60E06"
"ADFCGB21XXX","213800DJ7AZYUZ13AX49"
"ADFDAEAAXXX","254900HWFO3EMT7QWZ80"
"ADFLITR1XXX","81560074033E23451503"
"ADFNBE44XXX","529900YI0VEVXLCJUR09"
"ADGRIT21XXX","815600C8AAB9EC9CBB69"
"ADHAUS31XXX","WTX5X269IUOQ9YMI7R44"
"ADICAEAAXXX","254900DUVMY1TVH5DM25"
"ADIMDEF1XXX","OJ2TIQSVQND4IZYYK658"
"ADINAEAAXXX","J1Y4PL5OEWM2K0OMTW95"
"ADKSTHB1XXX","2549004392OYOFHKGR40"
"ADKTSES1XXX","5493002MMRTF3D2HG182"
"ADMAGB21XXX","549300ICEWWNWCQ3K855"
"ADMCUS44XXX","549300LO13MQ9HYSTR83"
"ADMGCHZZXXX","967600ZPOVVYU8ZHBO06"
"ADMIUS41XXX","I9O8MELCUVOTLJABOX92"
"ADMREE21XXX","549300QE3BN5Y1FE7M41"
"ADNANOKKXXX","529900W8V3YLHRSZH763"
"ADOMJPJ1XXX","3538009HFL7I647D7K73"
"ADPIUS33XXX","HGBOLILQXWER4SAL2I23"
"ADPLGB21XXX","549300LNYKT3CP3PML94"
"ADPVFR21XXX","969500U22CIZ9MDSS249"
"ADRBNL21XXX","724500MYCVX2USUTT915"
"ADRMCY21XXX","2138005BHIUTWGOCHB31"
"ADRSUS41XXX","5493002KJ2LLK14DRK71"
"ADSCTHB1XXX","894500JPIDXHKZ0NM727"
"ADSNGB21XXX","213800FPNEZWDW42FZ90"
"ADSOUS61XXX","5493008K65FKZ7JK3617"
"ADSRKYK1XXX","54930036X3S7R5L4QS58"
"ADSSFR22XXX","969500QVPA2XF7G37Y36"
"ADSVSI21XXX","485100008LBCPGNX2W91"
"ADTLGB21XXX","213800TOFB5VNV9L6J73"
"ADVCGB21XXX","2138005NRPF24GXXZP31"
"ADVIGB21XXX","254900JTAEXKMDW2N907"
"ADVOUS61XXX","8URW8P187PE4V1YXW104"
"ADVZLULLXXX","529900OKPZTTS50FXP26"
"ADYBNL2AXXX","724500973ODKK3IFQ447"
"ADYENL21XXX","724500973ODKK3IFQ447"
"AEAGGB21XXX","213800O24R9L3ZG21H70"
"AEAMMYK1XXX","254900M5DG9AKERWWZ42"
"AEBAGRAAXXX","213800TWSHPHH7ZH2P97"
"AEBKBY2XXXX","2534002LM3JWKX94A106"
"AEBSDE7TXXX","2138004CCKDSH6RE1G26"
"AECFFR21XXX","969500OQNI4UI7WF8N48"
"AECVGB21XXX","213800J36W1T73RAUM25"
"AEDEITM1XXX","815600BACF507EC30687"
"AEDFBEBBXXX","529900DTKNXL0AXQFN28"
"AEDGDEF2XXX","549300PER2ICSDPP2R94"
"AEDPFRP1XXX","969500PJMBSFHYC37989"
"AEEAITR1XXX","549300Q3448N041CTH56"
"AEECUS31XXX","5493000PZ159BW18FR76"
"AEEIITM1XXX","8156005902A7BC6EFF44"
"AEESIT21XXX","81560078AF9796967C77"
"AEETIT22XXX","81560035635AD2B19A53"
"AEFAUS44XXX","6YVO3H2OUHJXER5SGR23"
"AEFAUS4BXXX","6YVO3H2OUHJXER5SGR23"
"AEFFIT21XXX","81560096E0DA76818C96"
"AEFRIT21XXX","8156005DBE6CA468DD09"
"AEGBRUMMXXX","549300WFYYJY4T93E871"
"AEGONL2UXXX","549300772D1G8JPIUR96"
"AEGPFR21XXX","969500MJ8QKMNB4HES09"
"AEGUUS42XXX","4DJIF67XTB552L0E3L78"
"AEGUUS44XXX","4DJIF67XTB552L0E3L78"
"AEIBPKK1XXX","549300KKIZ6TSRIP5898"
"AEILUS44XXX","85LNZLR1WR9SYRVFCH09"
"AEIMNL21XXX","5493005S591LT1RDBJ14"
"AEIMNL2GXXX","5493005S591LT1RDBJ14"
"AEINAEADXXX","5299008NWVU6T9JK1P82"
"AEIOGB21XXX","213800UEB5PQMZYOFM66"
"AEISUS41XXX","549300NT7GLLVGTH0249"
"AEKTCH22XXX","529900125Z6C67CRGO98"
"AELOGB22XXX","213800CD4SC3ZWW63756"
"AEMEIT21XXX","815600EBA8EBC5D83502"
"AEMLGB21XXX","549300QZGMU6Y0TA5Y64"
"AENVNL2GXXX","O4QK7KMMK83ITNTHUG69"
"AEONJPJ1XXX","3538003AR6BUIRFDY820"
"AEONJPJTXXX","3538003AR6BUIRFDY820"
"AEPLITM2XXX","815600F434D67EF16B54"
"AEPRITR2XXX","815600C201329FE83A59"
"AEPSITM1XXX","815600CCD64C2D8CDF94"
"AERIUS33XXX","IUGPUX5LWRZ3B6KIZ697"
"AERLITM1XXX","815600D9C59771539346"
"AERPZAJ2XXX","378900628E65FE051735"
"AERRIT31XXX","8156007259ABDEA3F444"
"AESAIT21XXX","8156004FC08892256641"
"AESCIT21XXX","815600CA09E26F515386"
"AESNIT21XXX","8156000822892491F527"
"AESOIT22XXX","8156005902A8E5CAF286"
"AESUGB21XXX","549300GH8KY3M2QD3W46"
"AETLAUS1XXX","222100SXDSRCT6QIB307"
"AETNUS33XXX","SPCOIWBJM0HFYQX3A364"
"AETSITM1XXX","81560076E3944316DB24"
"AEXCQAQDXXX","2138006REMIK9KHZ3424"
"AEXTCHZZXXX","5067004DO2LK4HAF7649"
"AFADADADXXX","254900B2E2MOSDJKZG83"
"AFAISESSXXX","549300V54X1NJ9FZXW98"
"AFBLMUMUXXX","549300N8BDWE3MP97605"
"AFBQMYKLXXX","549300QOLX6CNNMH5E58"
"AFCLCHZZXXX","5493006UE0SG5J4SHT85"
"AFCMSGSGXXX","549300TEDZW3EZZBTR75"
"AFCOLBBEXXX","549300XMLXFXUTPNYY04"
"AFCUUS33XXX","254900YY8IQK41QDLZ95"
"AFDBCIABXXX","549300LNCLMO3ITVCU07"
"AFDOFR22XXX","213800RYKU8E7RTLAE11"
"AFEAFR21XXX","9695004PDWKZPALEQ327"
"AFEDKWKWXXX","549300O4QHK2ENLCGV47"
"AFEEIE2DXXX","254900PMVMUC5G2DRM93"
"AFEIUS6LXXX","549300MV57LPASV8US90"
"AFEPZAJ2XXX","378900E285CD4E1B6327"
"AFERFR21XXX","969500IOOE5LWOF6PC19"
"AFEWQAQAXXX","2138002DFHCS6QER7P29"
"AFEXSAJ1XXX","558600YCBMF3KW9QH647"
"AFFAATWWXXX","529900BJCD2GG630LG79"
"AFFCNGLAXXX","213800LXFHRRXIJRXW97"
"AFGBAFKAXXX","254900CXHOOX57T4KP49"
"AFGEFRP1XXX","969500Z125UMX39XCY53"
"AFGPKWKWXXX","2549000A07AM4AQ9NP46"
"AFIAFRP1XXX","969500IX5SLMIX4H5O35"
"AFIBAFKAXXX","254900EVG96LS9VH5329"
"AFIDMYK1XXX","254900XMHTWLP1F4HG93"
"AFIELULLXXX","222100YT3TT9HR81IS56"
"AFINMXM1XXX","5493002C56S2RYRKJ580"
"AFIRMXMTXXX","4469000001BI636I1557"
"AFIUCOBBXXX","54930073H2R2EG7O5W65"
"AFJONO21XXX","5967007LIEEXZX7Y2W23"
"AFKBTRISXXX","789000DWLOUQNDCW8W61"
"AFMICATTXXX","9F443AVI6KXI3MYCLS29"
"AFMNUS42XXX","WK4GSNIW4D0EC2DB7Z69"
"AFMONL21XXX","7245004T3GVMWC5LP916"
"AFMPSGS1XXX","549300E1KGVH7NXGZN39"
"AFNBUS4HXXX","549300B190GPYLAX3Y92"
"AFNLIT21XXX","8156002EFB6331371040"
"AFNSITR1XXX","815600BEAC4633CAD858"
"AFOMFRPPXXX","969500I965IVZI71E111"
"AFOPDEB2XXX","984500AE615CE51DE634"
"AFOPFR21XXX","969500O2EONIMPKGS872"
"AFPLUS31XXX","549300CTRRO8C3BU3H64"
"AFPPCLR2XXX","549300FK7HEJO33J5N35"
"AFPTESBBXXX","549300L9109V36J94123"
"AFRCZAJJXXX","2549008X8SL1B1J86F98"
"AFREGB21XXX","213800B4XZJ3ZDM7CL47"
"AFRFZAJJXXX","254900JG9PIWUIKPJO89"
"AFRICDKSXXX","2138006N5LLOF59UG643"
"AFRICIABXXX","2138008JU13PJ6VIC648"
"AFRIFRPPXXX","969500KUKL6QJRIL3738"
"AFRIKENXXXX","6354006KNDDHIBAIZQ52"
"AFRINENIXXX","2138002KSVYO8VKTEK05"
"AFRISNDAXXX","213800616HA2JM8RMK31"
"AFROGB2LXXX","549300IIEMUGQ2EOPQ87"
"AFRPZAJ1XXX","529900X2YGUNBIYF6F78"
